School Number,School Name,Telephone,Email^,Principal*,School Website,Street,Suburb,Town / City,Postal Address,Postal Address Suburb,Postal Address City,Postal Code,Urban/Rural,School Type,Definition,Authority,Gender of Students,KME Peak Body,Takiwā
2126,He Tīwai Mātauranga Heaton Normal Intermediate,03-3559555,admin@heaton.school.nz,James Griggs,http://www.heaton.school.nz/,125 Heaton Street,Merivale,Christchurch,125 Heaton Street,,Christchurch,,Major urban area,Intermediate,,State,Co-Educational,,Te Tai Runga
2127,Highfield School,03-6861419,office@highfield.school.nz,Amy Logavatu,http://www.highfield.school.nz,Rimu Street,Glenwood,Timaru,30 Rimu Street,Glenwood,Timaru,7910,Medium urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
2128,Hinds School,03-3037208,office@hinds.school.nz,Amanda Ferguson,http://www.hinds.school.nz,50 Reed Street,Hinds,Ashburton,50 Reed Street RD 5,,Ashburton,7775,Rural settlement,Full Primary,,State,Co-Educational,,Te Tai Runga
2129,Hokitika Primary School,03-7557400,principal@hokitika.school.nz,Sandra Keenan,http://www.hokitika.school.nz,230 Park Street,,Hokitika,230 Park Street,,Hokitika,7810,Small urban area,Contributing,,State,Co-Educational,,Te Tai Runga
2130,Hoon Hay Te Kura Kōaka,03-3388429,office@hoonhay.school.nz,Lee Mcarthur,http://www.hoonhay.school.nz,91 Sparks Road,Hoon Hay,Christchurch,91 Sparks Road,Hoon Hay,Christchurch,8025,Major urban area,Contributing,,State,Co-Educational,,Te Tai Runga
2131,Hornby Primary School,03-3497238,office@hornbyprimary.school.nz,Maire Bowler,http://www.hornbyprimary.school.nz,190 Waterloo Road,Hornby,Christchurch,190 Waterloo Road,Hornby,Christchurch,8042,Major urban area,Contributing,,State,Co-Educational,,Te Tai Runga
2132,Hororata School,03-3180803,,Amanda Cullen (Acting),http://hororata.ultranet.school.nz,2548 Bealey Road,Hororata,Darfield,2548 Bealey Road RD 2,,Darfield,7572,Rural settlement,Contributing,,State,Co-Educational,,Te Tai Runga
2133,Ilam School,03-3487492,admin@ilam.school.nz,Belinda Kennedy,http://www.ilam.school.nz,66 Ilam Road,Ilam,Christchurch,66 Ilam Road,Ilam,Christchurch,8041,Major urban area,Contributing,,State,Co-Educational,,Te Tai Runga
2134,Te Kura o Te Mātāpuna Isleworth School,03-3598553,admin@isleworth.school.nz,Michael Davidson (Acting),http://www.isleworth.school.nz,59A Farrington Avenue,Bishopdale,Christchurch,59A Farrington Avenue,Bishopdale,Christchurch,8053,Major urban area,Contributing,,State,Co-Educational,,Te Tai Runga
2135,Kaingaroa School (Chatham Islands),03-3050337,principal@kaingaroa.school.nz,Haylee Powell,https://kaingaroachathamislands.school.nz/,Kaingaroa Road,,Chatham Islands,PO Box 23,Waitangi,Chatham Islands,8942,Rural other,Full Primary,,State,Co-Educational,,Te Tai Runga
2136,Kaiapoi Borough School,03-3277231,office@kbs.school.nz,Jenny Fraser (Acting),http://www.kbs.school.nz,20 Hilton Street,,Kaiapoi,20 Hilton Street,,Kaiapoi,7630,Medium urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
2137,Kaiapoi North School,03-3278803,office@kaiapoinorth.school.nz,Felicity Fahey (Acting),http://www.kaiapoinorth.school.nz,278 Williams Street,,Kaiapoi,278 Williams Street,,Kaiapoi,7630,Medium urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
2138,Kaikōura Primary School,03-3195440,office@kaikoura.school.nz,Hannah Simpson,http://www.kaikoura.school.nz,19 Torquay Street,Esplanade,Kaikoura,19 Torquay Street,,Kaikoura,7300,Small urban area,Contributing,,State,Co-Educational,,Te Tai Runga
2139,Kaikōura Suburban School,03-3195064,office@ks.school.nz,Kylee Habgood,http://www.kaikourasuburban.school.nz,425 Schoolhouse Road,,Kaikoura,425 Schoolhouse Road RD 1,,Kaikoura,7371,Rural other,Contributing,,State,Co-Educational,,Te Tai Runga
2140,Kaniere School,03-7556813,office@kaniere.school.nz,Rachel King,http://www.kaniere.school.nz/,16 Camp Street,Kaniere,Hokitika,16 Camp Street,Kaniere,Hokitika,7811,Rural settlement,Contributing,,State,Co-Educational,,Te Tai Runga
2141,Karoro School,03-7685747,admin@karoro.school.nz,Brenda Tomkinson,http://www.karoro.school.nz,Main South Road,,Greymouth,73 Main South Road,Karoro,Greymouth,7805,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
2142,Kahikatea Kirkwood Intermediate,03-3487718,school.information@kirkwood.school.nz,Philip Tappenden,http://www.kirkwood.school.nz,260 Riccarton Road,Riccarton,Christchurch,260 Riccarton Road,Riccarton,Christchurch,8041,Major urban area,Intermediate,,State,Co-Educational,,Te Tai Runga
2143,Kirwee Model School,03-3181850,office@kirweemodel.school.nz,Leonie Weavers,http://www.kirweemodel.school.nz,School Lane,,Kirwee,PO Box 129,,Kirwee,7543,Rural settlement,Contributing,,State,Co-Educational,,Te Tai Runga
2144,Kokatahi-Kowhitirangi School,03-7556375,office@kokatahi.school.nz,Nicola Minehan,http://kokatahi.blogspot.co.nz,35 Upper Kokatahi Road,,Hokitika,35 Upper Kokatahi Road RD 1,,Hokitika,7881,Rural other,Contributing,,State,Co-Educational,,Te Tai Runga
2145,Kumara School,03-7369832,office@kumara.school.nz,Mandy Dodds,http://www.kumara.school.nz,68 Fifth Street,,Kumara,68 Fifth Street,,Kumara,7832,Rural settlement,Full Primary,,State,Co-Educational,,Te Tai Runga
2146,Ladbrooks School,03-3296885,office@ladbrooks.school.nz,Sandy Hastings (Acting),http://www.ladbrooks.school.nz,9 Barnes Road,,Ladbrooks,9 Barnes Road RD 4,,Christchurch,7674,Rural other,Full Primary,,State,Co-Educational,,Te Tai Runga
2147,Lake Tekapo School,03-6806816,office@tekapo.school.nz,Simon Waymouth,,Aorangi Crescent,,Lake Tekapo,PO Box 15,,Lake Tekapo,7945,Rural settlement,Contributing,,State,Co-Educational,,Te Tai Runga
2148,Lauriston School,03-3024799,admin@lauriston.school.nz,Colin Brodie,http://www.lauriston.school.nz/,Church Street,Lauriston,Ashburton,Church Street RD 2,,Ashburton,7772,Rural other,Contributing,,State,Co-Educational,,Te Tai Runga
2149,Leeston School,03-3243493,principal@leeston.school.nz,Lynda Taylor,http://www.leeston.school.nz,Selwyn Street,,Leeston,24 Selwyn Street,,Leeston,7632,Small urban area,Contributing,,State,Co-Educational,,Te Tai Runga
2150,Leithfield School Te Kura o Kōwai,03-3148024,principal@leithfield.school.nz,Rob Cavanagh,http://www.leithfield.school.nz,Old Main Road,,Amberley,Old Main North Road RD 1,,Amberley,7481,Rural settlement,Full Primary,,State,Co-Educational,,Te Tai Runga
2151,Lincoln Primary School,03-3252571,admin@lincolnprimary.ac.nz,Chris Nord,https://www.lincolnprimary.ac.nz,130 North Belt,,Lincoln,130 North Belt,,Lincoln,7608,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
2152,Te Huarahi Linwood Avenue School,03-3899256,office@linwoodave.school.nz,Felicity Iona (Acting),http://www.linwoodave.school.nz,260 Linwood Avenue,Linwood,Christchurch,260 Linwood Avenue,Linwood,Christchurch,8062,Major urban area,Contributing,,State,Co-Educational,,Te Tai Runga
2153,Whītau School,03-3898112,office@whitau.school.nz,Shane Buckner,http://www.linwoodnorth.school.nz,221 Woodham Road,Linwood,Christchurch,221 Woodham Road,Linwood,Christchurch,8062,Major urban area,Contributing,,State,Co-Educational,,Te Tai Runga
2154,Little River School,03-3251004,office@littleriver.school.nz,Kealy Warren,http://www.littleriver.school.nz,46 Western Valley Road,,Little River,46 Western Valley Road RD 1,,Little River,7591,Rural settlement,Full Primary,,State,Co-Educational,,Te Tai Runga
2155,Loburn School Te Kura Aromauka,03-3128828,office@loburn.school.nz,Stuart Priddy,http://www.loburn.school.nz,73 Hodgsons Road,Loburn,Rangiora,73 Hodgsons Road RD 2,,Rangiora,7472,Rural other,Full Primary,,State,Co-Educational,,Te Tai Runga
2156,Mairehau Primary School,03-3853796,office@mairehau.net,Pauline Jansen,http://www.mps.school.nz,43 Mahars Road,,Christchurch,PO Box 27166,Shirley,Christchurch,8640,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
2157,Makikihi School,03-6895587,office@makikihi.school.nz,Tina Ivamy,http://www.makikihi.school.nz,12 Makikihi Station Road,,Makikihi,12 Makikihi Station Road RD 8,,Waimate,7978,Rural settlement,Full Primary,,State,Co-Educational,,Te Tai Runga
2158,Te Rito Harakeke - Marshland School,03-3852239,office@marshland.school.nz,Dion Stechmann,http://www.marshland.school.nz,11 Te Korari Street,Marshland,Christchurch,11 Te Korari Street,Marshland,Christchurch,8083,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
2159,Mayfield School (Mid-Canterbury),03-3036214,office@mayfieldschool.co.nz,Emma Hewett,http://www.mayfieldschool.co.nz,14 Lismore Mayfield Road,,Ashburton,14 Lismore Mayfield Road RD 5,,Ashburton,7775,Rural other,Full Primary,,State,Co-Educational,,Te Tai Runga
2160,Merrin School Ngā Whetū Kohara,03-3588369,office@merrin.school.nz,Lisa Dillon-Roberts,http://www.merrin.school.nz,41 Merrin Street,Avonhead,Christchurch,41 Merrin Street,Avonhead,Christchurch,8042,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
2161,Methven Primary School,03-3028500,office@methven.school.nz,Sue Furndorfler,http://www.methven.school.nz,McDonald Street,,Methven,1 McDonald Street,,Methven,7730,Small urban area,Contributing,,State,Co-Educational,,Te Tai Runga
2162,Mt Somers Springburn School,03-3039892,office@mtss.school.nz,Morgan Platt,http://www.mtss.school.nz,78 Ashburton Gorge Road,Mount Somers,Ashburton,78 Ashburton Gorge Road RD 1,,Ashburton,7771,Rural settlement,Full Primary,,State,Co-Educational,,Te Tai Runga
2163,Aoraki Mount Cook School,020-4144 0504,secretary@aoraki.school.nz,Sandra Rolls,http://www.aoraki.school.nz,"5 Sebastopol Drive, Aoraki",,Mt Cook,PO Box 31,Mount Cook,Mt Cook,7946,Rural settlement,Full Primary,,State,Co-Educational,,Te Tai Runga
2164,Mt Pleasant School,03-3843994,office@mtpleasant.school.nz,Donna Ellery,http://www.mtpleasant.school.nz,82 Major Hornbrook Road,Mt Pleasant,Christchurch,82 Major Hornbrook Road,Mount Pleasant,Christchurch,8081,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
2165,New Brighton Catholic School (Chch),03-3887982,office@nbc.school.nz,Deborah Daines,http://www.newbrightoncatholic.school.nz,100 Lonsdale Street,New Brighton,Christchurch,100 Lonsdale Street,New Brighton,Christchurch,8083,Major urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Runga
2166,North Loburn School,03-3128852,office@northloburn.school.nz,Kate Hassall,http://www.northloburn.school.nz,813 Loburn Whiterock Road,,Loburn North,813 Loburn Whiterock Road RD 2,,Rangiora,7472,Rural other,Full Primary,,State,Co-Educational,,Te Tai Runga
2167,Te Kura o Matarangi - Northcote School,03-3529371,office@northcotechch.school.nz,Sam Turner,http://www.northcotechch.school.nz,26 Tuckers Road,Redwood,Christchurch,26 Tuckers Road,Redwood,Christchurch,8051,Major urban area,Contributing,,State,Co-Educational,,Te Tai Runga
2168,Oaklands Te Kura o Ōwaka,03-3228735,admin@oaklands.school.nz,Graeme Norman,http://www.oaklands.school.nz,Cunningham Place,Halswell,Christchurch,Cunningham Place,Halswell,Christchurch,8025,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
2169,Ōhoka School,03-3126840,office@ohoka.school.nz,Amy O'Kane,https://www.ohoka.school.nz/,261 Jacksons Road,,Kaiapoi,261 Jacksons Road RD 2,,Kaiapoi,7692,Rural other,Full Primary,,State,Co-Educational,,Te Tai Runga
2170,Okains Bay School,027-3048629,office@okainsbay.school.nz,Colin Hammond,https://hail.to/okains-bay-school,1163 Okains Bay Road,,Okains Bay,1163 Okains Bay Road RD 3,,Akaroa,7583,Rural other,Full Primary,,State,Co-Educational,,Te Tai Runga
2171,Omihi School,03-3145857,principal@omihi.school.nz,Maree Lucas,https://www.omihi.school.nz/,990 Omihi Road,,Hurunui,990 Omihi Road RD 3,,Amberley,7483,Rural other,Full Primary,,State,Co-Educational,,Te Tai Runga
2172,Te Kura o Ōpāwaho – Opawa School,03-3326374,admin@opawa.school.nz,Sally Ormandy,http://www.opawa.school.nz/,Ford Road,Opawa,Christchurch,30 Ford Road,Opawa,Christchurch,8023,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
2173,Our Lady of the Assumption School (Chch),03-3389503,admin@ola.school.nz,Matthew Malone,http://www.ola.school.nz,89 A Sparks Road,Hoon Hay,Christchurch,89A Sparks Road,Hoon Hay,Christchurch,8025,Major urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Runga
2174,Our Lady of the Snows School (Methven),03-3028250,office@ladysnow.school.nz,,http://www.ladysnow.school.nz,Main Road,,Methven,20 Main Street,,Methven,7730,Small urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Runga
2175,Our Lady of Victories,03-3487790,admin@olv.school.nz,Collette Sandilands,http://www.olv.school.nz,106 Main South Road,Sockburn,Christchurch,PO Box 11009,Sockburn,Christchurch,8443,Major urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Runga
2176,Ōuruhia Model School,03-3238855,office@ouruhia.school.nz,Katrina (Trina) Shepherd,https://www.ouruhia.school.nz,21 Turners Road,Ouruhia,Christchurch,21 Turners Road,Ouruhia,Christchurch,8083,Rural other,Full Primary,,State,Co-Educational,,Te Tai Runga
2177,Papanui Primary School,03-3528271,,Ben Galletly,http://www.papanuiprimary.school.nz,40 Winters Road,Papanui,Christchurch,40 Winters Road,Redwood,Christchurch,8051,Major urban area,Contributing,,State,Co-Educational,,Te Tai Runga
2178,Paparoa Street School,03-3528160,office@paparoastreet.school.nz,Dyane Stokes,http://www.paparoastreet.school.nz,120 Paparoa Street,Papanui,Christchurch,120 Paparoa Street,Papanui,Christchurch,8053,Major urban area,Contributing,,State,Co-Educational,,Te Tai Runga
2179,Parkview Pārua,03-3830833,office@parkview.school.nz,Kent McDonald,http://www.parkview.school.nz,Chadbury Street,Parklands,Christchurch,PO Box 38109,Parklands,Christchurch,8842,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
2180,Paroa School (Greymouth),03-7626709,office@paroagrey.school.nz,Rochelle Clark,http://www.paroagrey.school.nz,494 Main South Road,Paroa,Greymouth,494 Main South Road,Paroa,Greymouth,7805,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
2181,Pitt Island School,03-3050191,office@pittisland.school.nz,Nic Hill,http://www.pittisland.school.nz,Flower Pot-Glory Road,Pitt Island,Chatham Islands,Glory Road,Pitt Island,Chatham Islands,8942,Rural other,Full Primary,,State,Co-Educational,,Te Tai Runga
2182,Pleasant Point Primary School,03-6147832,reception@pointprimary.school.nz,Lorraine Frances-Rees,http://www.pointprimary.school.nz,33 Halstead Road,,Pleasant Point,31 Halstead Road,,Pleasant Point,7903,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
2183,Prebbleton School,03-3496553,admin@prebbleton.school.nz,Kim Alexander,http://www.prebbleton.school.nz,Blakes Road,,Prebbleton,Blakes Road,,Prebbleton,7604,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
2184,Queenspark Te Hua Mānuka,03-3831578,admin@queenspark.school.nz,Ross Willocks,http://www.queenspark.school.nz,222 Queenspark Drive,Parklands,Christchurch,222 Queenspark Drive,Parklands,Christchurch,8083,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
2185,Rakaia School,03-3027113,principal@rakaia.school.nz,Mark Ellis,http://www.rakaia.school.nz,Dunford Street,,Rakaia,33 Dunford Street,,Rakaia,7710,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
2186,Rangiora Borough School,03-3137434,office@rangiora.school.nz,Simon Green,http://www.rangiora.school.nz,King Street,,Rangiora,PO Box 68,,Rangiora,7440,Medium urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
2187,Te Raekura Redcliffs School,03-3843853,admin@redcliffs.school.nz,Nick Leith,http://www.redcliffs.school.nz,113 Beachville Road,Redcliffs,Christchurch,113 Beachville Road,Redcliffs,Christchurch,8081,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
2188,Redwood School (Christchurch),03-3526739,,Nick Gunn,http://www.redwoodprimary.school.nz,51 Prestons Road,Redwood,Christchurch,51 Prestons Road,Redwood,Christchurch,8051,Major urban area,Contributing,,State,Co-Educational,,Te Tai Runga
2189,Te Kāpehu Riccarton School,03-3485700,paul.irving@tkr.school.nz,Paul Irving,http://www.riccartonprimary.school.nz,1 English Street,Sockburn,Christchurch,1 English Street,Sockburn,Christchurch,8042,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
2190,Rolleston School,03-3478355,admin@rolleston.school.nz,Simon Moriarty,http://www.rolleston.school.nz,11 Tennyson Street,,Rolleston,PO Box 141,,Rolleston,7643,Medium urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
2191,Ross School,03-7554167,principal@ross.school.nz,Jodie Linklater,https://www.educationcounts.govt.nz/find-school/school/profile?school=3489,Moorhouse Street,,Ross,18 Moorhouse Street,,Ross,7812,Rural settlement,Contributing,,State,Co-Educational,,Te Tai Runga
2192,Rotherham School,03-3156368,office@rotherham.school.nz,Rachel Howser,http://www.rotherham.school.nz,71 George Street,,Rotherham,71 George Street,,Rotherham,7379,Rural settlement,Contributing,,State,Co-Educational,,Te Tai Runga
2193,Te Kōmanawa Rowley School,03-3382472,admin@rowley.school.nz,Graeme Norman,http://www.rowley.school.nz,48 Rowley Avenue,Hoon Hay,Christchurch,48 Rowley Avenue,Hoon Hay,Christchurch,8025,Major urban area,Contributing,,State,Co-Educational,,Te Tai Runga
2194,Te Ara Maurea Roydvale School,03-3585785,office@roydvale.school.nz,Jenny Washington,http://www.roydvale.school.nz,117 Roydvale Avenue,Burnside,Christchurch,117 Roydvale Avenue,Burnside,Christchurch,8053,Major urban area,Contributing,,State,Co-Educational,,Te Tai Runga
2195,Runanga School,03-7627873,,Jess Lees,http://www.runanga.school.nz/,Mcgowan Street,,Runanga,Mcgowan Street,,Runanga,7803,Small urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
2196,Te Parito Kōwhai Russley School,03-3427783,reception@russley.school.nz,Gregory Lewis,http://www.russley.school.nz,75 Cutts Road,Avonhead,Christchurch,75 Cutts Road,Russley,Christchurch,8042,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
2197,Sacred Heart School (Timaru),03-6888188,office@sacredhearttim.school.nz,David Armstrong,http://www.sacredhearttim.school.nz,54 Heaton Street,,Timaru,54 Heaton Street,Parkside,Timaru,7910,Medium urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Runga
2198,Te Waitai Sefton School,03-3129755,office@sefton.school.nz,Heidi Moeller,http://www.sefton.school.nz,603 Upper Sefton Road,,Sefton,PO Box 9,,Sefton,7445,Rural settlement,Full Primary,,State,Co-Educational,,Te Tai Runga
2199,Sheffield Contributing School,03-3183713,karen@sheffieldprimary.school.nz,Nigel Easson,http://www.sheffieldprimary.school.nz,Wrights Road,,Sheffield,Wrights Road,,Sheffield,7500,Rural settlement,Contributing,,State,Co-Educational,,Te Tai Runga
2200,Te Oraka,03-3852229,principal@sis.school.nz,Brett Cooper,http://www.sis.school.nz,60 Shirley Road,Shirley,Christchurch,PO Box 27028,Shirley,Christchurch,8640,Major urban area,Intermediate,,State,Co-Educational,,Te Tai Runga
2201,Te Hiwa Shirley Primary School,03-3852019,info@shirleyprimary.school.nz,Alistair Sim,http://www.shirleyprimary.school.nz,11 Shirley Road,Shirley,Christchurch,11 Shirley Road,Shirley,Christchurch,8013,Major urban area,Contributing,,State,Co-Educational,,Te Tai Runga
2202,Wigram Primary School - Te Piki Kāhu,03-3497325,principal@wigramprimary.school.nz,Heather Walkinshaw,http://wigramprimary.school.nz,5 The Runway,Wigram,Christchurch,5 The Runway,Wigram,Christchurch,8042,Major urban area,Contributing,,State,Co-Educational,,Te Tai Runga
2203,Somerfield Te Kura Wairepo,03-3322364,admin@somerfield.school.nz,Meagan Kelly,http://www.somerfield.school.nz,42 Studholme Street,Somerfield,Christchurch,42 Studholme Street,Somerfield,Christchurch,8024,Major urban area,Contributing,,State,Co-Educational,,Te Tai Runga
2204,Te Manu Tukutuku South Hornby School,03-3497561,admin@southhornby.school.nz,Wendy Huriwai,http://www.southhornby.school.nz,35 Amyes Road,Hornby,Christchurch,35 Amyes Road,Hornby,Christchurch,8042,Major urban area,Contributing,,State,Co-Educational,,Te Tai Runga
2205,South New Brighton School,03-3889426,admin@snbs.school.nz,Kate McClelland,http://www.snbs.school.nz,160 Estuary Road,South New Brighton,Christchurch,160 Estuary Road,South New Brighton,Christchurch,8062,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
2206,Southbridge School,03-3242545,principal@southbridge.school.nz,Ian Quilter,http://www.southbridge.school.nz,25 Hastings Street,,Southbridge,25 Hastings Street,,Southbridge,7602,Rural settlement,Contributing,,State,Co-Educational,,Te Tai Runga
2207,Southbrook School,03-3138792,admin@southbrook.school.nz,Julie Walls,http://www.southbrook.school.nz,26 Marshall Street,,Rangiora,PO Box 640,,Rangiora,7440,Medium urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
2208,Te Kura o Mōkihi Spreydon School,03-3385033,admin@spreydon.school.nz,Andrea Stewart,http://www.spreydon.school.nz,50 Hoon Hay Road,Hoon Hay,Christchurch,PO Box 37221,Halswell,Christchurch,8245,Major urban area,Contributing,,State,Co-Educational,,Te Tai Runga
2209,Springfield School,03-3184867,office@springfield.school.nz,Keri Steele,http://springfield.ultranet.school.nz/home,2 Tawera Lane,,Springfield,2 Tawera Lane RD 1,,Springfield,7649,Rural settlement,Contributing,,State,Co-Educational,,Te Tai Runga
2210,Springston School,03-3295724,office@springston.school.nz,Kirsty Panapa,http://www.springston.school.nz,Leeston Road,,Springston,16 Leeston Road,,Springston,7616,Rural settlement,Full Primary,,State,Co-Educational,,Te Tai Runga
2211,St Albans Catholic School (Christchurch),03-3557538,office@stalbanscatholic.school.nz,Abraham Atherton,http://www.stalbanscatholic.school.nz,49 Rutland Street,St Albans,Christchurch,49 Rutland Street,Saint Albans,Christchurch,8014,Major urban area,Contributing,,State : Integrated,Co-Educational,,Te Tai Runga
2212,St Albans School,03-3559132,stalbans@stalbans.school.nz,Jo Lidstone (Acting),http://www.stalbans.school.nz,17 Sheppard Place,St Albans,Christchurch,17 Sheppard Place,Saint Albans,Christchurch,8014,Major urban area,Contributing,,State,Co-Educational,,Te Tai Runga
2213,St Andrew's School (Timaru),03-6126831,office@standrewsprimary.school.nz,Murray Davidson,http://www.standrewsprimary.school.nz,21 Blue Cliffs Road,,St Andrews,21 Blue Cliffs Road RD 24,,St Andrews,7988,Rural settlement,Full Primary,,State,Co-Educational,,Te Tai Runga
2214,St Anne's School (Woolston),03-384 3073,reception@stannes.co.nz,Dallas Wichman,http://www.stannes.co.nz,739 Ferry Road,Woolston,Christchurch,PO Box 19625,Woolston,Christchurch,8241,Major urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Runga
2215,St Bernadette's School (Hornby),03-3429780,admin@stb.school.nz,Joanne Jones,http://www.stbernadetteschch.school.nz,74 Hei Hei Road,Hornby,Christchurch,74 Hei Hei Road,Hei Hei,Christchurch,8042,Major urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Runga
2216,St James School (Aranui),03-9820009,principal@stjames.school.nz,Rose Firth-Scott,http://www.stjames.school.nz,Rowan Avenue,Aranui,Christchurch,25 Rowan Avenue,Aranui,Christchurch,8061,Major urban area,Contributing,,State : Integrated,Co-Educational,,Te Tai Runga
2217,St Joseph's School (Ashburton),03-3085299,office@st-josephs.school.nz,Cath Blacklow,http://www.st-josephs.school.nz,87 Havelock Street,,Ashburton,87 Havelock Street,,Ashburton,7700,Medium urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Runga
2218,St Joseph's School (Pleasant Point),03-6147202,office@stjoplpt.school.nz,Jill White,http://www.stjoplpt.school.nz/,29 Afghan Street,,Pleasant Point,29 Afghan Street,,Pleasant Point,7903,Small urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Runga
2219,St Joseph's School (Fairlie),027-6858659,office@stjofairlie.school.nz,Kelly Eason,http://www.stjofairlie.school.nz,3 Gall Street,,Fairlie,3 Gall Street,,Fairlie,7925,Rural settlement,Full Primary,,State : Integrated,Co-Educational,,Te Tai Runga
2220,St Joseph's School (Kaikōura),03-3195725,office@stjkaikoura.school.nz,Judith Ford,http://www.stjkaikoura.school.nz,30 Ludstone Road,,Kaikoura,30 Ludstone Road,,Kaikoura,7300,Small urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Runga
2221,St Joseph's School (Papanui),03-3528779,office@stjopapa.school.nz,Aaron Richards,http://www.stjopapa.school.nz,4 Vagues Road,Papanui,Christchurch,4 Vagues Road,Northcote,Christchurch,8052,Major urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Runga
2222,St Joseph's School (Temuka),03-6158206,office@stjotemu.school.nz,Brenna Sugrue,https://www.stjotemu.school.nz/,Wilkin Street,,Temuka,31 Wilkin Street,,Temuka,7920,Small urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Runga
2223,St Joseph's School (Timaru),03-6881376,office@stjosephstimaru.school.nz,Amanda O'Brien,http://www.stjosephstimaru.school.nz,50 Kelvin Street,,Timaru,50 Kelvin Street,Marchwiel,Timaru,7910,Medium urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Runga
2224,St Martins School,03-3326121,office@stmartins.school.nz,Andrew Mouat,http://www.stmartins.school.nz,Albert Terrace,St Martins,Christchurch,Albert Terrace,Saint Martins,Christchurch,8022,Major urban area,Full Primary,,State,Co-Educational,,Te Tai Runga
2225,St Mary's School (Christchurch),03-3662005,office@stmaryschch.school.nz,David O'Neill,http://www.stmaryschch.school.nz/,375 Manchester Street,,Christchurch,375 Manchester Street,Christchurch Central,Christchurch,8013,Major urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Runga
2226,St Mary's School (Hokitika),03-7556133,office@stmaryshok.school.nz,Marlene Ransfield,https://www.stmaryshok.school.nz/,87 Sewell Street,,Hokitika,87 Sewell Street,,Hokitika,7810,Small urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Runga
2227,St Patrick's School (Bryndwr),03-3515590,office@stpatricks.school.nz,Nathan Burford,http://www.stpatricks.school.nz,57 Plynlimon Road,Bryndwr,Christchurch,57 Plynlimon Road,Strowan,Christchurch,8052,Major urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Runga
2228,St Patrick's School (Greymouth),03-7687830,office@stpatricksgm.school.nz,Ian Johnson,http://www.stpatricksgm.school.nz,13 Puketahi Street,,Greymouth,13 Puketahi Street,,Greymouth,7805,Small urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Runga
2229,St Patrick's School (Waimate),03-6898584,office@spw.school.nz,Paul Cartlidge,http://st-pats.school.nz/,Cameron Street,,Waimate,PO Box 53,,Waimate,7960,Small urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Runga
2230,St Patrick's School (Kaiapoi),03-3277700,office@stpatkai.school.nz,Trish McKendry,http://www.stpatkai.school.nz,Fuller Street,,Kaiapoi,61 Fuller Street,,Kaiapoi,7630,Medium urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Runga
2231,St Peter's School Te Kura Haoika,03-3327598,principal@saintpeters.school.nz,Sarah Lowe,http://www.saintpeters.school.nz,11 Fisher Avenue,Beckenham,Christchurch,11 Fisher Avenue,Beckenham,Christchurch,8023,Major urban area,Full Primary,,State : Integrated,Co-Educational,,Te Tai Runga
