Sr No,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),County Description,Email,Phone No.,Principal Name,Local Authority Description,Ethos Description,Female,Male,Total
2586,ST JOHN OF GOD N S,Kilmore Road,Artane,Dublin 5,Dublin,principal@stjohnofgodartane.com,018477193,Aoife McNicholas,Dublin City Council,Catholic,179,3,182
2587,Drung No 2 NS,Doohassan,Drung,Co. Cavan,Cavan,drungcent.ias@eircom.net,0494338317,Georgina Smith,Cavan County Council,Church Of Ireland,1,3,4
2588,OUR LADYS N S,St Columbanus,Milltown,Dublin 14,Dublin,olnsclonskeagh@gmail.com,012981989,Edel Collins,Dun Laoghaire Rathdown,Catholic,82,94,176
2589,HAROLDS CROSS N S,Clareville Road,Harold's Cross,Dublin 6W,Dublin,office@haroldscrossns.ie,014922321,Mark Glynn,Dublin City Council,Catholic,188,210,398
2590,SCOIL MHUIRE,Parnell Street,Kilkenny,,Kilkenny,secretary@presprimarykk.ie,0567765598,Sinéad O'Shea,Kilkenny County Council,Catholic,282,118,400
2591,GAELSCOIL CHOLAISTE MHUIRE,4 Cearnóg Parnell,Baile Átha Cliath,,Dublin,oifig@gaelscoilcm.ie,018729131,Pól Hansard,Dublin City Council,Catholic,86,75,161
2592,SCOIL MHUIRE B & C,Millbrae,Stranorlar,Co. Donegal,Donegal,stranorlarprincipal@gmail.com,0749131877,Eoghan Roarty,Donegal County Council,Catholic,232,257,489
2593,RANELAGH MULTI DENOM NS,Ranelagh Road,Ranelagh,Dublin 6,Dublin,principal@rmds.ie,014961722,Paul Fairbrother,Dublin City Council,Multi Denominational,111,110,221
2594,ST BRIGIDS SENIOR GIRLS,Wellmount Avenue,Finglas West,Dublin 11,Dublin,info@stbrigidssgns.ie,018342416,Siobhan Loughman,Dublin City Council,Catholic,132,5,137
2595,Scoil an Chroí Ró-Naofa,Urlingford,Co Kilkenny,via Thurles,Kilkenny,urlingfordns2020@gmail.com,0568831512,Philip Lonergan,Kilkenny County Council,Catholic,104,119,223
2596,GAELSCOIL SHEOIRSE,Bóthar Bhaile an Róistigh,Luimneach,,Limerick,gaelscoilsheoirseclancy@gmail.com,061603293,Aileen Ní Choisteala,Limerick City Council,Catholic,40,42,82
2597,SN MHIC DARA,An Ceathrú Rua,Co. na Gaillimhe,,Galway,eolas@scoilmhicdara.ie,091595395,Katherine Ní Cheallaigh,Galway County Council,Catholic,96,106,202
2598,SCOIL TREASA NAOFA,Petrie Road,Donore Avenue,Dublin 8,Dublin,principal@scoiltreasanaofa.ie,014541899,Ann Marie Spillane,Dublin City Council,Catholic,80,95,175
2599,LIMERICK SCHOOL PROJECT,O'Connell Avenue,Limerick,,Limerick,office@lsp.ie,061412994,Pamela Ronan,Limerick City Council,Multi Denominational,106,97,203
2600,SCOIL EOIN,Greendale Road,Dublin 5,,Dublin,info@scoileoinns.com,018323281,Gail Fox,Dublin City Council,Catholic,72,71,143
2601,GAELSCOIL ULTAIN,Cnoc an Chonnaidh,Muineacháin,,Monaghan,eolas@ultain.ie,04739711,Éilis Uí Sheanáin,Monaghan County Council,Catholic,183,190,373
2602,GAELSCOIL AONACH,Bóthar Naomh Chonlain,An tAonach,Co. Thiobraid Árann,Tipperary,oifig@gaelscoilau.ie,06733509,Bríd Uí Shlatara,Tipperary (Nr) County Council,Catholic,105,74,179
2603,ST JOSEPHS,Tivoli Road,Dun Laoghaire,Co. Dublin,Dublin,office@dunlaoghairens.ie,012803504,Padraic Fay,Dun Laoghaire Rathdown,Catholic,168,202,370
2604,Scoil Naisiunta an Dea Aoire,Whitehall Road,Churchtown,Dublin 14,Dublin,school@goodshepherd.ie,012989475,Órlaith Veale,Dun Laoghaire Rathdown,Catholic,99,110,209
2605,GAELSCOIL NAOMH PADRAIG,Bóthar an Chaisleán,Leamhcán,Co. Átha Cliath,Dublin,oifig.gsnp@gmail.com,016241355,Liam Breathnach,South Dublin County Council,Catholic,177,190,367
2606,GAELSCOIL FAITHLEANN,An Pháirc,Cill Airne,Co. Chiarraí,Kerry,p.oide@gsfaithleann.ie,0646634930,Lisa Ní Iarlaithe,Kerry County Council,Catholic,129,116,245
2607,ST PATRICKS NS,Colgagh,Calry,Sligo,Sligo,Principal@calryns.ie,0719144288,David Gallagher,Sligo County Council,Catholic,87,95,182
2608,ST DAMIENS NS,Quarry Drive,Perrystown,Dublin 12,Dublin,stdamiansoffice@gmail.com,014508932,Aodh OConnor,South Dublin County Council,Catholic,115,116,231
2609,GORESBRIDGE N.S.,GORESBRIDGE,CO KILKENNY,,Kilkenny,office@goresbridgens.ie,0599775168,Nora McDonald,Kilkenny County Council,Catholic,37,31,68
2610,RATHFARNHAM EDUCATE TOGETHER,Loreto Avenue,Rathfarnham,Dublin 14,Dublin,info@retns.ie,014938677,Louise Ledwith,Dun Laoghaire Rathdown,Multi Denominational,101,87,188
2611,RUTLAND NATIONAL SCHOOL,Lower Gloucester Place,Dublin 1,,Dublin,secretary@rutlandns.ie,018747331,Niamh Murray,Dublin City Council,Catholic,75,77,152
2612,MOUNT SION CBS N S,Barrack Street,Waterford,,Waterford,office@mountsionprimaryschool.ie,051377947,Catherine Burke,Waterford City Council,Catholic,,360,360
2613,Scoil na gCeithre Maistri,Lios Uí Mhulláin,Áth Luain,Co. na hIarmhí,Westmeath,runai@ceithremaistri.ie,0906465794,Eoin Ó Crofaigh,Westmeath County Council,Catholic,120,115,235
2614,ISLAMIC NATIONAL SCHOOL,19 Roebuck Road,Clonskeagh,Dublin 14,Dublin,mns0003@hotmail.com,012961340,John Mc Donnell,Dun Laoghaire Rathdown,Muslim,208,206,414
2615,SWINFORD NS,Station Road,Swinford,Co. Mayo,Mayo,swinfordps@gmail.com,0949252055,Adrian Cregg,Mayo County Council,Catholic,87,113,200
2616,HOSPITAL NS,Castlefarm,Hospital,Co. Limerick,Limerick,principal@hospitalns.net,061383197,Brendan Moloney,Limerick County Council,Catholic,59,97,156
2617,ST MARYS NS,Youghal Road,Dungarvan,Co. Waterford,Waterford,principal@stmarysdungarvan.ie,05841346,Breda Veale,Waterford County Council,Catholic,180,57,237
2618,North Bay Educate Together NS,GREENDALE AVENUE,KILBARRACK,DUBLIN 5,Dublin,reception@northbayetns.com,018325536,Eimear Cole,Dublin City Council,Multi Denominational,99,97,196
2619,Presentation Primary School,Slievekeale Road,Waterford,,Waterford,info@presentationprimarywaterford.ie,051374995,Áine Máire Uí Mheadra,Waterford City Council,Catholic,437,9,446
2620,GAELSCOIL SAIRSEAL,Bóthar Shíol Bhroin,Luimneach,,Limerick,oifig@gaelscoilsairseal.com,061322502,Áine Ní Fhíobhra,Limerick City Council,Catholic,202,167,369
2621,DROMCLOUGH N S,Listowel,Co. Kerry,,Kerry,dromclo@eircom.net,06840293,Mary O'Connor,Kerry County Council,Catholic,83,109,192
2622,S N Naomh Fhiach,Killeshin Road,Graiguecullen,Co. Carlow,Carlow,st.fiaccs@gmail.com,0599132444,John Brennan,Carlow County Council,Catholic,280,290,570
2623,SCOIL NAOMH FIONAN,Whitecastle,Quigley's Point,Co. Donegal,Donegal,scoilnaomhfionan@outlook.com,0749383228,Dr. Patrick Patton,Donegal County Council,Catholic,95,104,199
2624,ST JOHNS N S,Wyattville Road,Ballybrack,Co. Dublin,Dublin,office@stjohnsns.ie,019020990,Catherine Coady,Dun Laoghaire Rathdown,Catholic,67,98,165
2625,SCOIL AODH RUA&NUALA,Upper Main Street,Donegal Town,,Donegal,scoilaodhrua@gmail.com,0749722661,Martine Doherty,Donegal County Council,Catholic,118,101,219
2626,SCOIL MHUIRE GAN SMAL,Ballymote,Co. Sligo,,Sligo,office@smgsballymote.ie,0719183894,David O'Farrell,Sligo County Council,Catholic,105,110,215
2627,SCOIL MHUIRE,Clarinbridge,Co. Galway,,Galway,info@clarinbridgeschool.ie,091796191,Lorraine Henry,Galway County Council,Catholic,122,134,256
2628,ST JOSEPHS,Drumcollogher,Charleville,Co. Limerick,Limerick,dromcollogherprimary@gmail.com,06383229,Eibhlin Healy,Limerick County Council,Catholic,38,36,74
2629,SCOIL IOSAGAIN,St Mary's Road,Buncrana,Co. Donegal,Donegal,principal@scoiliosagain.ie,0749362450,Sinead McLaughlin,Donegal County Council,Catholic,368,411,779
2630,GAELSCOIL DURLAS EILE,Bóthar na Naomh,Durlas,Co. Thiobraid Árann,Tipperary,oifig@gaelscoildurlas.ie,050421497,Labhaoise Ní Chuinneagáin,Tipperary (Nr) County Council,Catholic,103,91,194
2631,SN UI CHEITHEARNAIGH,Céide Ghearrbhaile,Béal Átha na Slua,Co. na Gaillimhe,Galway,oifig@gaelscoil.ie,0909644347,Rachel Ní Shiúlaí,Galway County Council,Catholic,105,88,193
2632,PORTLAW N.S.,Convent Road,Portlaw,Co. Waterford,Waterford,secretaryportlawns@gmail.com,051387454,Brian Barron,Waterford County Council,Catholic,111,103,214
2633,GAELSCOIL ADHAMHNAIN,Gleann Cearra,Leitir Ceanainn,Co. Dhún na nGall,Donegal,gaelscoil1991@gmail.com,0749126117,Colm Breathnach,Donegal County Council,Catholic,219,191,410
2634,S N UILEOG DE BURCA,LOCHÁN NA MBAN,CLÁR CHLAINNE MHUIRIS,CO MAIGH EO,Mayo,oifig@gaelscoildeburca.ie,0949362000,Máire Uí Dhinnéide,Mayo County Council,Catholic,54,51,105
2635,SCOIL MHUIRE,Racecourse Road,Clifden,Co. Galway,Galway,secretary@scoilmhuireclifden.ie,09521353,Dara McAleer,Galway County Council,Catholic,121,120,241
2636,SCOIL EOIN NAOFA,Temple Street,Sligo,,Sligo,stjohnsnssligo@outlook.com,0719162537,Bernard Mulhern,Sligo County Council,Catholic,116,173,289
2637,ST PATRICKS,BALLINAMUCK,CO LONGFORD,,Longford,ballinamucknschool@gmail.com,0433324063,Damien McIntyre,Longford County Council,Catholic,31,32,63
2638,ST BEACONS N S,MULLINAVAT,CO KILKENNY,,Kilkenny,stbeaconsns@gmail.com,051898442,Peter Fitzpatrick,Kilkenny County Council,Catholic,80,95,175
2639,MAULATRAHANE CENTRAL NS,Leap,Skibbereen,Co. Cork,Cork,principal@maulatrahanens.ie,02833827,Stephanie Hodnett,Cork County Council,Catholic,17,14,31
2640,ST KEVINS N S,Pearse Street,Sallynoggin,Co. Dublin,Dublin,kevinssallynoggin@gmail.com,012854309,Barry O' Leary,Dun Laoghaire Rathdown,Catholic,95,134,229
2641,ST ATTRACTAS N S,Ballaghaderreen,Co. Roscommon,,Roscommon,secretary@stattractasns.com,0949860646,Noel Loftus,Roscommon County Council,Catholic,138,143,281
2642,ST MARYS N S,Windsor Avenue,Fairview,Dublin 3,Dublin,secretary@stmarysfairview.ie,018377551,Thomas Gallagher,Dublin City Council,Catholic,148,64,212
2643,ST CLARES NS,Virginia Road,Ballyjamesduff,Co. Cavan,Cavan,stclaresbjdns@gmail.com,0498544908,Karl McCartin,Cavan County Council,Catholic,198,224,422
2644,OUR LADY OF MERCY N S,Pearse Road,Sligo,,Sligo,office@mercypssligo.ie,0719171364,Olivia Flannery,Sligo County Council,Catholic,232,217,449
2645,S N EOIN BAISTE,Garraí na dTor,Lios Póil,Co. Chiarraí,Kerry,scoilnaomheoinbaiste@gmail.com,0669157408,Nuala Uí Ghearailt,Kerry County Council,Catholic,55,57,112
2646,SCOIL MHUIRE N S,Newtownforbes,Co. Longford,,Longford,scoilmhuirenewtown@gmail.com,0433345220,Noel McKeon,Longford County Council,Catholic,136,181,317
2647,Scoil Mhuire na Trocaire,CILL NA MULLACH,CO CHORCAI,,Cork,buttevantprimaryschool@gmail.com,02223506,Irene O'Rourke,Cork County Council,Catholic,93,120,213
2648,GAELSCOIL AN EISCIR RIADA,CLUAIN CALGA,AN TULACH MHOR,CO. UIBH FHAILI,Offaly,oifig@eriada.ie,0579352058,Ms Donna Martyn,Offaly County Council,Catholic,99,86,185
2649,Gaelscoil na Camoige,Bóthar an Úlloird,Cluain Dolcáin,Baile Átha Cliath 22,Dublin,oifig@gsnc.ie,014576878,Aoife Ni Raghallaigh,South Dublin County Council,Catholic,105,110,215
2650,GAELSCOIL AN GHOIRT ALAINN,Aibhinne Murmont,Gort Álainn,Corcaigh,Cork,gaelscoilga@gortalainn.ie,0214551955,Deaglan Ó Deargáin,Cork City Council,Multi Denominational,202,191,393
2651,GAELSCOIL MHIC AMHLAIGH,Lána an Mhuillearoa,Cnoc na Cathrach,Gaillimh,Galway,scoilma.ias@gmail.com,091590152,Dairíona Nic Con Iomaire,Galway City Council,Catholic,340,303,643
2652,North Kildare Educate Together NS,Clane Road,Celbridge,Co. Kildare,Kildare,office@nketns.ie,016274388,Jenny McCarthy,Kildare County Council,Multi Denominational,232,200,432
2653,ST BRENDANS NS,St Brigid's Road,Portumna,Co. Galway,Galway,portumnans@gmail.com,0909741465,Rod Gorman,Galway County Council,Catholic,127,108,235
2654,Scoil Bhrige agus Bhreandain Naofa,Corrandulla,Co. Galway,,Galway,officescoilbagusb@gmail.com,091791093,Sinead Keenan,Galway County Council,Catholic,134,147,281
2655,Gaelscoil de hIde,Ard na Mara,Uarán Mór,CO NA GAILLIMHE,Galway,priomhoide@gaelscoildehide.net,091790737,Siobhán Ní Bhéara,Galway County Council,Catholic,192,207,399
2656,GAELSCOIL UI CHOIMIN,Pound Street,CILL ROIS,CO AN CHLAIR,Clare,oifig@gaelscoiluichoimin.com,0659052791,Dara Ó Cinnéide,Clare County Council,Catholic,36,25,61
2657,Galway Educate Together NS,Thomas Hynes Road,Newcastle,Galway,Galway,admin@getns.ie,091527887,Francis Duggan,Galway City Council,Multi Denominational,161,212,373
2658,GAELSCOIL BHEANNTRAI,An Seisceann,Beanntraí,Co. Chorcaí,Cork,info@gaelscoilbheanntrai.ie,02751966,Helena Ní Bhraoin,Cork County Council,Catholic,56,63,119
2659,GAELSCOIL AN MHUILINN,Bóthar an Ághasaigh,An Muileann gCearr,Co. na hIarmhí,Westmeath,oifig@gaelscoilanmhuilinn.ie,0449344754,Bríd de Bhial,Westmeath County Council,Catholic,87,92,179
2660,ST AIDANS PARISH SCHOOL,Convent Road,Enniscorthy,Co. Wexford,Wexford,principal@staidansps.ie,0539235809,Frank Murphy,Wexford County Council,Catholic,416,453,869
2661,Scoil an Croi Ro Naofa,Castletownbere,Co. Cork,,Cork,ctbprincipal@gmail.com,02770788,Deirdre Lehane,Cork County Council,Catholic,81,114,195
2662,Gaelscoil Mhichíl Uí Choileáin,Bóthar Chnoc na Raithní,Cloch na gCoillte,Co. Chorcaí,Cork,runai@gsmc.ie,0238834882,Pádraig Ó hEachthairn,Cork County Council,Multi Denominational,189,199,388
2663,GAELSCOIL CHLUAIN MEALA,Baile Gaelach,Cluain Meala,Co. Thiobraid Árainn,Tipperary,eolas@gaelscoilchluainmeala.ie,0526127271,Eoghan Breathnach,Tipperary (Sr) County Council,Catholic,165,150,315
2664,GAELSCOIL LOCH GARMAN,An Charraig Bhán Thuaidh,Loch Garman,,Wexford,dearbhla@gaelscoilcharman.ie,0539124227,Dearbhla Mhic Chaoilte,Wexford County Council,Catholic,107,101,208
2665,GAELSCOIL DR M UI SHUILLEABHAIN,Gort na Cloiche,An Sciobairín,Co. Chorcaí,Cork,gaelscoil21192@hotmail.com,02821192,Aisling Ní Néill,Cork County Council,Catholic,41,37,78
2666,GRIFFITH BARRACKS MULTI D SCHOOL,The Old Guardhouse,South Circular Road,Dublin 8,Dublin,office@griffithbarracks.ie,014547278,Eddie Fox,Dublin City Council,Multi Denominational,183,220,403
2667,GAELSCOIL LIOS TUATHAIL,"Bóthar na Leabharlainne,",Lios Tuathail,Co. Chiarraí,Kerry,oifig@liostuathail.com,06823081,Séana Ní Chuain,Kerry County Council,Catholic,88,48,136
2668,GAELSCOIL BHAILE MUNNA,Bóthar Choltraí,Baile Munna,Baile Átha Cliath 9,Dublin,eolas@gaelscoilbhailemunna.ie,018622275,Sinéad Uí Mhaoldomhnaigh,Dublin City Council,Catholic,87,77,164
2669,GAELSCOIL UI CHEADAIGH,Bóthar Vevay,Bré,Co.Chill Mhantáin,Wicklow,oifig@gaelscoiluicheadaigh.ie,012865044,Mághnus Breathnach,Wicklow County Council,Catholic,76,90,166
2670,Scoil an Spioraid Naoimh,Scoil an Spioraid Naoimh,Laytown,,Meath,secretary@ssnlaytown.ie,0419828091,Bláithín Maguire,Meath County Council,Catholic,205,233,438
2671,Presentation Primary School,Sexton Street,Limerick,,Limerick,info@preslimerick.ie,061412494,Barbara McNamara,Limerick City Council,Catholic,228,51,279
2672,HOLY FAMILY SCHOOL,Ballymote Road,Tubbercurry,,Sligo,principalholyfamilyns@gmail.com,0719186291,Bernadette Ryan,Sligo County Council,Catholic,98,94,192
2673,Gaelscoil Thaobh na Coille,Beallairmín,An Chéim,Baile Átha Cliath 18,Dublin,gaelscoil@taobhnacoille.ie,012950000,Emer Nic Chonchradha,Dun Laoghaire Rathdown,Catholic,211,191,402
2674,Scoil na mBuachailli,O'Rahilly Street,Clonakilty,Co. Cork,Cork,info@snbclonakilty.com,0238834487,Norma Harte,Cork County Council,Catholic,1,234,235
2675,GAELSCOIL CHILL DARA,Green Road,Newbridge,Co. Chill Dara,Kildare,oifig@gaelscoilchilldara.com,045442300,Niamh Uí Chadhla,Kildare County Council,Catholic,148,140,288
2676,BUN SCOIL MUIRE,O'Brien's Place,Youghal,Co. Cork,Cork,secbsm@bunscoilmhuire.com,02493234,Eoghan Rua O'Neill,Cork County Council,Catholic,249,238,487
2677,Gaelscoil Droichead na Banndan,Cloch Mhic Shíomoin,Droichead na Banndan,Co. Chorcaí,Cork,Info@gsbanndan.ie,0238843378,Mairéad Áine Ní Úrdail,Cork County Council,Catholic,70,87,157
2678,Gaelscoil Bhreifne,Cnoc an Choiligh,An Cabhán,Co an Chabháin,Cavan,office@gaelscoilbhreifne.ie,0494890049,Niamh Ní Cheallaigh,Cavan County Council,Multi Denominational,94,99,193
2679,GAELSCOIL THIOBRAID ARANN,Cnoc an Railéigh,Baile Thiobraid Árann,,Tipperary,tgaelscoil@yahoo.ie,06231240,Mairéad Ní Fhathaigh,Tipperary (Sr) County Council,Catholic,64,43,107
2680,ST BRIGIDS INFANT N S,Wellmount Avenue,Finglas West,Dublin 11,Dublin,info@stbrigidsinfantschool.ie,018348770,Siobhan Ryan,Dublin City Council,Catholic,75,65,140
2681,DUNBOYNE JUNIOR N S,Station Road,Dunboyne,Co. Meath,Meath,office@dunboynejps.ie,018252807,Orla Mahon,Meath County Council,Catholic,201,196,397
2682,DUNBOYNE SENIOR N S,Station Road,Dunboyne,Co. Meath,Meath,office@dunboynesps.ie,018252803,J.J. Brennan,Meath County Council,Catholic,230,240,470
2683,ST GABRIELS N S,COWPER STREET,DUBLIN 7,,Dublin,principal@stgabrielsns.ie,018384853,Suzanne Comerford,Dublin City Council,Catholic,78,90,168
2684,NORTH PRESENTATION PRIMARY SCHOOL,Cathedral Walk,Gerald Griffin Street,Cork,Cork,principalnorthpres@gmail.com,0214307132,Susan O' Neill,Cork City Council,Catholic,150,138,288
2685,S N PADRAIG NAOFA,Louisburgh,Co. Mayo,,Mayo,info@louisburghns.ie,09866300,Emer Askin,Mayo County Council,Catholic,56,77,133
2686,SCOIL AISEIRI CHRIOST,Knockpogue Avenue,Farranree,Cork,Cork,info@scoilaiseirichriost.com,0214301383,Rachel Uí Fhlannabhra,Cork City Council,Catholic,232,,232
2687,SCOIL NAOMH IOSAF,Lathaleer,Baltinglass,Co. Wicklow,Wicklow,secretarysnibalto@gmail.com,0596481083,Maireád Hennessy,Wicklow County Council,Catholic,167,226,393
2688,ST BRENDANS N S,BELMONT,CLOGHANS HILL,TUAM,Galway,office@belmontns.com,09351528,Martina McGrath,Galway County Council,Catholic,20,19,39
2689,CONVENT OF MERCY NATIONAL SCHOOL,Kilrush,Co. Clare,,Clare,office@kilrushns.ie,0659051792,Avril Bolton,Clare County Council,Catholic,169,160,329
2690,Scoil an Chroi Naofa,Society Street,Ballinasloe,Co. Galway,Galway,info@ballinasloens.ie,0909644975,Christine Connor,Galway County Council,Catholic,145,148,293
2691,GAELSCOIL CHNOC LIAMHNA,SEAN BHÓTHAR CHNOC LIAMHNA,BOTHAR CNOC LIAMHNA,BAILE ÁTHA CLIATH 16,Dublin,runai@gaelscoilcl.com,014939262,Cárthaigh Ó Cuill,South Dublin County Council,Catholic,120,113,233
2692,Gaelscoil Chnoc na Re,BOTHAR BAILE UI DHUGAIN,SLIGEACH,,Sligo,scoil@cnocnare.net,0719174019,MICHEAL O BROIN,Sligo County Council,Catholic,96,112,208
2693,GAELSCOIL CHILL MHANTÁIN,An Casadh Meidhreach,Ráth Naoi,Co. Chill Mhantáin,Wicklow,gaelscoil@gmail.com,040431025,Connie Hughes,Wicklow County Council,Inter Denominational,158,127,285
2694,Gaelscoil na Cuaiche,Bóthar an Chúrsa Gailf,Cathair na Mart,Co. Mhaigh Eo,Mayo,oifig@cruaiche.com,09828121,Petra Ní Ghallachóir,Mayo County Council,Catholic,108,100,208
2695,GAELSCOIL BHARRA,Naomh Fionbarra CLG,Ascal an Fhasaigh,Cabrach,Dublin,oifig@gaelscoilbharra.net,018684827,Seán Ó Donaile,Dublin City Council,Catholic,99,113,212
2696,Gaelscoil Lios na nOg,Teach Feadha Chuileann,Bóthar Oakley,Raghnallach,Dublin,Priomhoide@gsliosnanog.ie,014975300,Cormac Chambers,Dublin City Council,Catholic,89,99,188
2697,RINGASKIDDY LOWER HARBOUR N S,Ringaskiddy,Co. Cork,,Cork,office@ringaskiddyns.ie,0214378238,John Herlihy,Cork County Council,Catholic,26,32,58
2698,Gaelscoil na nDeise,CAMPAS CHARRAIG PHIARAIS,BÓTHAR CHARRAIG PHIARAIS,PORT LÁIRGE,Waterford,oifig@gaelscoilnandeise.ie,051352682,Marc de Grás,Waterford City Council,Catholic,97,128,225
2699,Gaelscoil na Boinne,DUBLIN ROAD,TRIM,CO. MEATH.,Meath,eolas@gaelscoilnaboinne.ie,0469437872,JACINTA LAVIN,Meath County Council,Catholic,106,100,206
2700,GAELSCOIL CHOLMCILLE,Lána na Cúlóige,Baile Átha Cliath 17,,Dublin,eolas@gaelscoilcholmcille.ie,018940440,Neasa Ní Aoláin,Dublin City Council,Catholic,111,98,209
2701,SCOIL EOGHAN,Bath Terrace Lane,Moville,Co. Donegal,Donegal,scoileoghain@gmail.com,0749382951,Liam Joseph McDermott,Donegal County Council,Catholic,93,119,212
2702,GAELSCOIL ÉOIS,Bóthar Ros Liath,Cluain Éois,Co. Mhuineacháin,Monaghan,gaelscoileois@gmail.com,04752162,Laura Nic Grianna,Monaghan County Council,Catholic,65,61,126
2703,GAELSCOIL PHADRAIG,Ascaill Shíleann,Baile Breac,Co. Átha Cliath,Dublin,oifig@gaelscoilphadraig.ie,012827345,Roise Uí Labhraidh,Dun Laoghaire Rathdown,Catholic,61,57,118
2704,GAELSCOIL INIS CORTHAIDH,Drom Guail,Inis Corthaidh,Co. Loch Garman,Wexford,priomhoideben@gmail.com,0539237422,Ben Mac Caoilte,Wexford County Council,Catholic,94,90,184
2705,SCOIL UI FHIAICH,Bóthar Chill Droichid,Maigh Nuad,Co. Chill Dara,Kildare,oifig@gaelscoiluifhiaich.ie,016290667,Deaglán O'Driscoll,Kildare County Council,Catholic,216,243,459
2706,MOTHER OF DIVINE GRACE,Ferndale Avenue,Ballygall,Dublin 11,Dublin,school@mdgballygall.com,018344000,Eoin Dolan,Dublin City Council,Catholic,235,245,480
2707,Monkstown Eucate Together NS,Kill Avenue,Dun Laoghaire,Co. Dublin,Dublin,office@metns.ie,012303696,Ann Marie Kenrick,Dun Laoghaire Rathdown,Multi Denominational,210,205,415
2708,GAELSCOIL IARFHLATHA,Tír an Chóir,Tuaim,Co. na Gaillimhe,Galway,oifig@gaelscoiliarfhlatha.com,09326525,Colm Breathnach,Galway County Council,Catholic,112,111,223
2709,SCOIL MHUIRE,Nenagh Road,Borrisokane,Co. Tipperary,Tipperary,borrisokanens@gmail.com,06727477,Sarah Leahy,Tipperary (Nr) County Council,Catholic,66,73,139
2710,SCOIL AN CHLOCHAIR CILL BHEAGAN,Dublin Road,Kilbeggan,Co. Westmeath,Westmeath,office@kilbeggannationalschool.com,0579333558,Brenda Watts,Westmeath County Council,Catholic,95,131,226
2711,OUR LADY OF CONSOLATION NS,Collins Avenue East,Donnycarney,Dublin 5,Dublin,office@olocschool.ie,018310721,Aoife Ní Bhreacháin,Dublin City Council,Catholic,219,91,310
2712,OUR LADYS MEADOW NATIONAL SCHOO,Durrow,Co. Laois,,Laois,ourladysmeadowschool@gmail.com,0578736329,Helen Kelly,Laois County Council,Catholic,89,103,192
2713,Lucan Educate Together NS,Mount Bellew Way,Willsbrook,Lucan,Dublin,info@letns.org,016281298,Ultan Casey,South Dublin County Council,Multi Denominational,176,208,384
2714,ST JOSEPHS N S,KNOCKATALLON,SCOTSTOWN,CO MONAGHAN,Monaghan,stjosephsnationalschool@gmail.com,04789768,Mrs Aisling kelly,Monaghan County Council,Catholic,23,37,60
2715,ST MARYS NATIONAL SCHOOL,Castle Street,Cloghan,Birr,Offaly,stmarysnscloghan@gmail.com,0906457421,Bronwyn Collins,Offaly County Council,Catholic,43,50,93
2716,SCOIL BHRIDE,Rathdowney,Co. Laois,,Laois,scoilbhrideoffice@gmail.com,050546546,Padraig Kiely,Laois County Council,Catholic,113,131,244
2717,ST MARYS NS,Gracepark Road,Athlone,Co. Westmeath,Westmeath,stmarysathlone@gmail.com,0906472321,Ailish Mc Manus,Westmeath County Council,Catholic,265,308,573
2718,ST MOCHULLAS N.S.,Ennis Road,Tulla,Co. Clare,Clare,principal@stmochullas.com,0656835840,Brian Culloo,Clare County Council,Catholic,123,136,259
2719,Bunscoil Bhothar na Naomh,Deerpark Road,Lismore,Co. Waterford,Waterford,primaryschoollismore@gmail.com,05854685,Sean Prendergast,Waterford County Council,Catholic,133,151,284
2720,Scoil an Spioraid Naomh (Boys),Bishopstown,Cork,,Cork,info@bishopstownboysschool.ie,0214543333,Brian Cuthbert,Cork City Council,Catholic,,398,398
2721,Scoil Realt na Mara,Chapel Street,Kilkee,Co. Clare,Clare,scoilrealtnamara1@gmail.com,0659056583,Martina O'Grady,Clare County Council,Catholic,63,71,134
2722,FOUR MASTERS NS,Kinlough,Co. Leitrim,,Leitrim,principal@fourmastersns.ie,0719841123,Siobhán Lee,Leitrim County Council,Catholic,141,148,289
2723,GAELSCOIL AN INBHIR MHOIR,Bóthar Emoclew,An tInbhear Mór,Co. Chill Mhantáin,Wicklow,oifig@gaelscoilim.ie,040239199,Cian Ó Cuanacháin,Wicklow County Council,Inter Denominational,125,117,242
2724,GAELSCOIL PHORT LAOISE,Cnoc an tSamhraidh,Portlaoise,Co. Laoise,Laois,runai@gaelscoilphortlaoise.net,0578688293,Dominic Ó Braonáin,Laois County Council,Catholic,187,182,369
2725,Gaelscoil Thulach na nÓg,Bóthar Rúisc,Dún Búinne,Co. na Mí,Meath,office@tulach.ie,018252858,John Hand,Meath County Council,Inter Denominational,182,178,360
2726,GAELSCOIL AN LONGFOIRT,Fearann Uí Dhuagáin,An Longfort,,Longford,oifig@gaelscoillongfoirt.ie,0433341360,Andrée Nic Aonghusa,Longford County Council,Catholic,63,49,112
2727,Gaelscoil na gCeithre Maol,Cearnóg an Mhargaidh,Béal an Átha,Co. Mhaigh Eo,Mayo,scoilnagceithremaol@yahoo.ie,09673828,Frances Breen,Mayo County Council,Catholic,73,68,141
2728,Gaelscoil Charraig na Siuire,Bóthar Chluain Meala,Carraig na Siúire,Co. Thiobraid Árann,Tipperary,reception@gaelscoilcharraignasiuire.com,051640366,Linda Nic an Bháird,Tipperary (Sr) County Council,Catholic,49,65,114
