Sr No,SchoolName,SchoolType,SchoolURL,States,Email,Numbers,SchoolSector
5816,Hillview State School,Prim,https://hillviewss.eq.edu.au,QLD,admin@hillviewss.eq.edu.au,"(07) 5544 8119, (07) 5544 8134",Gov
5817,Hinchinbrook Public School,Prim,https://hinchinbro-p.schools.nsw.gov.au,NSW,hinchinbro-p.school@det.nsw.edu.au,"131 450, 9826 7344",Gov
5818,Hincks Avenue Primary School,Prim,http://www.hincksps.sa.edu.au,SA,dl.0938.info@schools.sa.edu.au,"(08) 8645 0811, (08) 8645 7266, 08 8645 0811, 08 8645 7266",Gov
5819,Hinton Public School,Prim,https://hinton-p.schools.nsw.gov.au,NSW,hinton-p.school@det.nsw.edu.au,4930 5266,Gov
5820,Hoddles Creek Primary School,Prim,http://www.hcps.vic.edu.au,VIC,Leanne.Timoney@education.vic.gov.au,03 5967 4282,Gov
5821,Holbrook Public School,Prim,https://holbrook-p.schools.nsw.gov.au,NSW,holbrook-p.school@det.nsw.edu.au,"131 450, 6036 2021, 6036 2021 146",Gov
5822,Holgate Public School,Prim,https://holgate-p.schools.nsw.gov.au,NSW,holgate-p.school@det.nsw.edu.au,"131 450, 4367 7444, 4367 7444 189, 692-2791",Gov
5823,Holland Park State High School,Sec,https://hollandparkshs.eq.edu.au,QLD,info@hollandparkshs.eq.edu.au,"(07) 3347 0111, (07) 3347 0160, 0423 677 767, 1300 555 727",Gov
5824,Holland Park State School,Prim,https://hollandparkss.eq.edu.au,QLD,Administration@hollandparkss.eq.edu.au,"(07) 3421 6222, (07) 3421 6260, 0475 467 679",Gov
5825,Holroyd High School,Sec,https://holroyd-h.schools.nsw.gov.au,NSW,holroyd-h.school@det.nsw.edu.au,"131 450, 9631 9410, 9896 1057",Gov
5826,Holsworthy Public School,Prim,https://holsworthy-p.schools.nsw.gov.au,NSW,holsworthy-p.school@det.nsw.edu.au,"131 450, 9825 1479",Gov
5827,Holy Cross Catholic Primary School,Prim,https://hcmickleham.catholic.edu.au,VIC,enquiries@hcmickleham.catholic.edu.au,(03) 9216 4200,NG
5828,Holy Cross Primary School,Prim,http://www.hcnewgisborne.catholic.edu.au,VIC,aelston@hcnewgisborne.catholic.edu.au,(03) 5420 8100,NG
5829,Holy Cross School,Prim,http://www.hcpswooloowin.qld.edu.au,QLD,pwooloowin@bne.catholic.edu.au,"(07) 3857 2443, 2021-2025",NG
5830,Holy Family Catholic School,Prim,http://www.holyfamily.catholic.edu.au,SA,info@holyfamily.catholic.edu.au,"08 8250 6616, 08 8258 0293, 08 8281 2267",NG
5831,Holy Family Primary School,Prim,http://www.holyfamilyps.qld.edu.au,QLD,pindooroopilly@bne.catholic.edu.au,"07 3870 5490, 07 3870 9600",NG
5832,Holy Spirit Catholic Primary School,Prim,http://www.holyspiritnt.catholic.edu.au,NT,admin.ceo@nt.catholic.edu.au,"(08) 8927 1066, (08) 8927 3411, (08) 8927 7011, (08) 89453633, (08) 89453700, 8 8984 1400, 8 8984 1444",NG
5833,Holy Spirit Catholic School,Prim,http://www.hsstsv.catholic.edu.au,QLD,crnbrk@tsv.catholic.edu.au,"(07) 4775 3291, (07) 4779 4255, 1800 826 155, 4775 2431",NG
5834,Holy Spirit College,Sec,http://www.hsc.qld.edu.au,QLD,admin@hsc.qld.edu.au,"(07) 4994 8600, (07) 4994 8699, 07 4994 8600, 07 4994 8699",NG
5835,Holy Spirit Primary School,Prim,http://kurri.catholic.edu.au,NSW,admin@kurri.catholic.edu.au,"(02) 4937 2165, (02) 4937 4192, 134232, 134860, 638488134264866, 638488134264874, 772464",NG
5836,Holy Spirit School,Prim,http://www.holyspiritnewfarm.qld.edu.au,QLD,pnewfarm@bne.catholic.edu.au,(07) 3358 2344,NG
5837,Holy Spirit School,Prim,http://www.holyspiritbraypark.qld.edu.au,QLD,pbraypark@bne.catholic.edu.au,(07) 3205 3955,NG
5838,Holy Trinity Catholic Primary School,Prim,http://htsunbury.catholic.edu.au/,VIC,admin@htsunbury.catholic.edu.au,"03 8746 6464, 8746 6464",NG
5839,Holy Trinity School,Prim,http://www.htws.catholic.edu.au,VIC,info@htws.catholic.edu.au,"(03) 9801 8296, 152 (03) 9801 8296",NG
5840,Home Hill State High School,Sec,https://homehillshs.eq.edu.au,QLD,admin@homehillshs.eq.edu.au,"(07) 4790 5600, (07) 4790 5666",Gov
5841,Home Hill State School,Prim,https://homehillss.eq.edu.au,QLD,principal@homehillss.eq.edu.au,"(07) 4790 5500, (07) 4790 5555, 2020-2023",Gov
5842,Homebush Boys High School,Sec,https://homebushbo-h.schools.nsw.gov.au,NSW,homebushbo-h.school@det.nsw.edu.au,9764 3611,Gov
5843,Homebush State School,Prim,https://homebushss.eq.edu.au,QLD,principal@homebushss.eq.edu.au,"(07) 4959 7159, (07) 4959 7286, 0472827915",Gov
5844,Homestead State School,Prim,https://homesteadss.eq.edu.au,QLD,principal@homesteadss.eq.edu.au,"(07) 4787 6645, (07) 4787 6660",Gov
5845,Hope Adventist School,Prim,http://www.hope.qld.edu.au/,QLD,admin@hope.qld.edu.au,07 41517311,NG
5846,Hope Christian College,Pri/Sec,http://www.hopecc.wa.edu.au,WA,peter.s@hopecc.wa.edu.au,"226 (08) 9726 3613, 9726 3613",NG
5847,Howard State School,Prim,https://howardss.eq.edu.au,QLD,admin@howardss.eq.edu.au,"(07) 4193 2333, (07) 4193 2366",Gov
5848,Howlong Public School,Prim,https://howlong-p.schools.nsw.gov.au,NSW,howlong-p.school@det.nsw.edu.au,"131 450, 6026 5206, 6026 5206 121",Gov
5849,Hughenden State School,Pri/Sec,https://hughendess.eq.edu.au,QLD,admin@hughendess.eq.edu.au,"(07) 4741 2100, (07) 4741 2111",Gov
5850,Humanitas High School,Sec,https://www.humanitashighschool.org.au/,QLD,admin@humanitashighschool.org.au,,NG
5851,Hume Central Secondary College,Sec,http://www.humecentralsc.vic.edu.au,VIC,hume.central.sc.blair@education.vic.gov.au,(03) 9066 3600,Gov
5852,Hume Central Secondary College-Dimboola Road Campus,Sec,http://www.humecentralsc.vic.edu.au,VIC,hume.central.sc.blair@education.vic.gov.au,(03) 9066 3600,Gov
5853,Hume Public School,Prim,https://hume-p.schools.nsw.gov.au,NSW,hume-p.school@det.nsw.edu.au,"131 450, 6025 1850",Gov
5854,Humpybong State School,Prim,https://humpybongss.eq.edu.au,QLD,info@humpybongss.eq.edu.au,"(07) 3385 1666, (07) 3385 1688",Gov
5855,Humula Public School,Prim,https://humula-p.schools.nsw.gov.au,NSW,humula-p.school@det.nsw.edu.au,"131 450, 6111118713001, 6313624216112, 6928 9254",Gov
5856,Hunter River High School,Sec,https://hunterriv-h.schools.nsw.gov.au,NSW,hunterriv-h.school@det.nsw.edu.au,"131 450, 4987 2306, 6111191517001, 6379950931112",Gov
5857,Hunter Sports High School,Sec,https://hunterspt-h.schools.nsw.gov.au,NSW,hunterspt-h.school@det.nsw.edu.au,"131 450, 4943 5755",Gov
5858,Hunters Hill High School,Sec,https://huntershd-h.schools.nsw.gov.au,NSW,huntershd-h.school@det.nsw.edu.au,"131 450, 9817 4785",Gov
5859,Hunters Hill Public School,Prim,https://huntershil-p.schools.nsw.gov.au,NSW,huntershil-p.school@det.nsw.edu.au,"131 450, 9816 4404",Gov
5860,Huonville High School,Sec,https://huonvillehigh.education.tas.edu.au/,TAS,Huonvillehigh-supportstaff@education.tas.gov.au,62640800,Gov
5861,Hurlstone Agricultural High School,Sec,https://hurlstone-h.schools.nsw.gov.au,NSW,hurlstone-h.school@det.nsw.edu.au,"1300 880 367, 131 450, 9829 9222",Gov
5862,Hurstville South Public School,Prim,https://hurstvills-p.schools.nsw.gov.au,NSW,hurstvills-p.school@det.nsw.edu.au,"131 450, 9580 2695",Gov
5863,IES College,Sec,https://iescollege.com/,QLD,info@iescollege.qld.edu.au,"(07) 3832 7699, 3832-7699, 4004 495",NG
5864,Ilfracombe State School,Prim,https://ilfracombess.eq.edu.au,QLD,principal@ilfracombess.eq.edu.au,(07) 4658 2159,Gov
5865,Illawarra Primary School,Prim,https://illawarraprimaryschool.education.tas.edu.au/,TAS,illawarra.primary@decyp.tas.gov.au,(03) 62296295,Gov
5866,Immaculate Heart of Mary School,Prim,http://www.ihm.catholic.edu.au,SA,info@ihm.catholic.edu.au,(08) 8115 7600,NG
5867,Immaculate Heart School,Prim,http://www.immac-heart.qld.edu.au,QLD,pleichhardt@bne.catholic.edu.au,"(07) 3812 1077, (07) 3812 2887",NG
5868,Immanuel Gawler,Prim,http://www.ilsg.sa.edu.au,SA,andrewb@ilsg.sa.edu.au,"8522 4187, 8522 5740",NG
5869,Inaburra School,Pri/Sec,http://www.inaburra.nsw.edu.au,NSW,school@inaburra.nsw.edu.au,"2 8525 2200, 2022-2025, 51617812558, 78001998876",NG
5870,Inala State School,Prim,https://inalass.eq.edu.au,QLD,admin@inalass.eq.edu.au,"(07) 3372 0760, (07) 3372 0777",Gov
5871,Indie School - Devonport,Special,https://indieschool.edu.au/campus/devonport,TAS,enquiries@indieschool.edu.au,1800 046 343,NG
5872,Indooroopilly State High School,Sec,https://indoorooshs.eq.edu.au,QLD,info@indoorooshs.eq.edu.au,"(07) 3327 8304, (07) 3327 8333, (07) 3327 8393, 0429 347 300, 3327 8306",Gov
5873,Indooroopilly State School,Prim,https://indooroopillyss.eq.edu.au,QLD,admin@indooroopillyss.eq.edu.au,"(07) 3327 2333, (07) 3327 2360, 2020-2023",Gov
5874,Indulkana Anangu School,Pri/Sec,http://www.indulkana.sa.edu.au,SA,dl.1174.info@schools.sa.edu.au,(08) 8670 7984,Gov
5875,Ingham State High School,Sec,https://inghamshs.eq.edu.au,QLD,admin@inghamshs.eq.edu.au,"(07) 4797 1333, (07) 4797 1366, 0427 263 905, 2024-2026",Gov
5876,Ingham State School,Prim,https://inghamss.eq.edu.au,QLD,admin@inghamss.eq.edu.au,"(07) 4776 9333, (07) 4776 9360, 0418 157 321",Gov
5877,Ingleburn High School,Sec,https://ingleburn-h.schools.nsw.gov.au,NSW,ingleburn-h.school@det.nsw.edu.au,"131 450, 9605 6165",Gov
5878,Ingleside State School,Prim,https://inglesidess.eq.edu.au,QLD,admin@inglesidess.eq.edu.au,(07) 5507 4333,Gov
5879,Inglewood State School,Pri/Sec,https://inglewoodss.eq.edu.au,QLD,admin@inglewoodss.eq.edu.au,"(07) 4652 0100, (07) 4652 0111",Gov
5880,Injune P-10 State School,Pri/Sec,https://injuness.eq.edu.au,QLD,principal@injuness.eq.edu.au,"(07) 4626 0222, 2021-2025",Gov
5881,Innisfail East State School,Prim,https://innisfaileastss.eq.edu.au,QLD,admin@innisfaileastss.eq.edu.au,(07) 4078 0111,Gov
5882,Innisfail State School,Prim,https://innisfailss.eq.edu.au,QLD,admin@innisfailss.eq.edu.au,(07) 4061 0333,Gov
5883,International Grammar School,Pri/Sec,http://www.igssyd.nsw.edu.au,NSW,reception@igssyd.nsw.edu.au,2 9219 6700,NG
5884,International Maarif Schools of Australia - Gallipoli Campus,Pri/Sec,https://www.maarif.nsw.edu.au/,NSW,admin@maarif.nsw.edu.au,"(1800 622 743, (1800 622743, 2144 2022",NG
5885,International School of Western Australia,Pri/Sec,http://www.iswa.wa.edu.au,WA,reception@iswa.wa.edu.au,"8 9285 1144, 9285 1144, 9285 1188",NG
5886,Inverell Public School,Prim,https://inverell-p.schools.nsw.gov.au,NSW,inverell-p.school@det.nsw.edu.au,"131 450, 6722 3072",Gov
5887,Inverloch Primary School,Prim,http://www.inverlochps.vic.edu.au/,VIC,inverloch.ps@education.vic.gov.au,"(03) 5674 1253, 951 (03) 5657 4224",Gov
5888,Ipswich Adventist School,Prim,https://ias.qld.edu.au/,QLD,admin@ias.qld.edu.au,"(07) 3201 6233, 07 3201 6233",NG
5889,Ipswich Central State School,Prim,https://ipswichcentralss.eq.edu.au,QLD,admin@ipswichcentralss.eq.edu.au,(07) 3432 5333,Gov
5890,Ipswich East State School,Prim,https://ipsweastss.eq.edu.au,QLD,admin@ipsweastss.eq.edu.au,"(07) 3432 6300, (07) 3432 6333, 2021 2022",Gov
5891,Ipswich Girls' Grammar School including Ipswich Junior Grammar School,Pri/Sec,http://www.iggs.qld.edu.au,QLD,accounts@iggs.qld.edu.au,#ERROR!,NG
5892,Ipswich North State School,Prim,https://ipswichnorthss.eq.edu.au,QLD,admin@ipswichnorthss.eq.edu.au,"(07) 3813 5801, (07) 3813 5888",Gov
5893,Ipswich Special School,Special,https://ipswichspecs.eq.edu.au,QLD,principal@ipswichspecs.eq.edu.au,"(07) 3813 5700, (07) 3813 5777",Gov
5894,Ipswich State High School,Sec,https://ipswichshs.eq.edu.au,QLD,office@ipswichshs.eq.edu.au,"7 3813 4276, 7 3813 4401, 7 3813 4408, 7 3813 4412, 7 3813 4450, 7 3813 4455, 7 3813 4460, 7 3813 4461, 7 3813 4462, 7 3813 4488",Gov
5895,Ipswich West Special School,Special,https://ipswwestspecs.eq.edu.au,QLD,principal@ipswwestspecs.eq.edu.au,(07) 3813 5111,Gov
5896,Ipswich West State School,Prim,https://ipswichwestss.eq.edu.au,QLD,principal@ipswichwestss.eq.edu.au,"(07) 3813 5200, (07) 3813 5222, 2024-2025",Gov
5897,Ironbark Ridge Public School,Prim,https://ironbarkrg-p.schools.nsw.gov.au,NSW,ironbarkrg-p.school@det.nsw.edu.au,"131 450, 8814 5687",Gov
5898,Ironside State School,Prim,https://ironsidess.eq.edu.au,QLD,admin@ironsidess.eq.edu.au,(07) 3258 3111,Gov
5899,Irvinebank State School,Prim,https://irvinebankss.eq.edu.au,QLD,principal@irvinebankss.eq.edu.au,"(07) 4096 4115, (07) 4096 4187",Gov
5900,Isabella State School,Prim,https://isabellass.eq.edu.au,QLD,principal@isabellass.eq.edu.au,"(07) 4040 8777, 0429 827 484, 2025-2028, 40408760",Gov
5901,Isis District State High School,Sec,https://isisdistrictshs.eq.edu.au,QLD,principal@isisdistrictshs.eq.edu.au,"(07) 4192 1200, (07) 4192 1222, (07) 4192 1260",Gov
5902,Isisford State School,Prim,https://isisfordss.eq.edu.au,QLD,principal@isisfordss.eq.edu.au,"(07) 4658 8186, (07) 4658 8190",Gov
5903,Islington Public School,Prim,https://islington-p.schools.nsw.gov.au,NSW,islington-p.school@det.nsw.edu.au,"131 450, 4969 3903",Gov
5904,Ithaca Creek State School,Prim,https://ithacacreekss.eq.edu.au,QLD,admin@ithacacreekss.eq.edu.au,"07 3514 9333, 07 3514 9360",Gov
5905,Ivanhoe Girls' Grammar School,Pri/Sec,http://www.ivanhoegirls.vic.edu.au,VIC,enquiries@ivanhoegirls.vic.edu.au,"3 9490 6222, 77 004 098 748",NG
5906,Ivanhoe Primary School,Prim,http://www.ivanhoeps.vic.edu.au,VIC,ivanhoe.ps@education.vic.gov.au,(03) 9499 1880,Gov
5907,Jabiru Community College,Sec,https://www.jcc.qld.edu.au/,QLD,office@jcc.qld.edu.au,"07 3554 1799, 51 145 751 837",NG
5908,Jacana School for Autism,Special,http://www.jacanaschoolforautism.vic.edu.au/,VIC,jacana.school@education.vic.gov.au,"(03) 9309 6258, (03) 9309 6426, 03 9309 6258, 78158235803",Gov
5909,Jambin State School,Prim,https://jambinss.eq.edu.au,QLD,principal@jambinss.eq.edu.au,"(07) 4996 5272, 0476 811 382",Gov
5910,Jamboree Heights State School,Prim,https://jamboreeheightsss.eq.edu.au,QLD,admin@jamboreeheightsss.eq.edu.au,"(07) 3725 5648, (07) 3725 5666",Gov
5911,James Busby High School,Sec,https://jamesbusby-h.schools.nsw.gov.au,NSW,jamesbusby-h.school@det.nsw.edu.au,"131 450, 9607 7766",Gov
5912,James Nash State High School,Sec,https://jamesnashshs.eq.edu.au,QLD,principal@jamesnashshs.eq.edu.au,"(07) 5480 6333, 2023-2025",Gov
5913,Jandowae Prep-10 State School,Pri/Sec,https://jandowaess.eq.edu.au,QLD,the.principal@jandowaess.eq.edu.au,(07) 4668 4333,Gov
5914,Jarvisfield State School,Prim,https://jarvisfieldss.eq.edu.au,QLD,admin@jarvisfieldss.eq.edu.au,"(07) 4782 4254, 0436 947 767",Gov
5915,Jasper Road Public School,Prim,https://jasperroad-p.schools.nsw.gov.au,NSW,jasperroad-p.school@det.nsw.edu.au,"131 450, 9639 6801",Gov
5916,Jells Park Primary School,Prim,http://www.jpps.vic.edu.au,VIC,jells.park.ps@education.vic.gov.au,150 (03) 9560 6494,Gov
5917,Jeparit Primary School,Prim,http://www.jeparitps.vic.edu.au,VIC,jeparit.ps@education.vic.gov.au,(03) 5397 2033,Gov
5918,Jericho State School,Prim,https://jerichoss.eq.edu.au,QLD,Principal@jerichoss.eq.edu.au,"(07) 4651 4162, (07) 4651 4280",Gov
5919,Jerilderie Public School,Prim,https://jerilderie-p.schools.nsw.gov.au,NSW,jerilderie-p.school@det.nsw.edu.au,"03 5886 1331, 131 450",Gov
5920,Jerrabomberra High School,Sec,https://jerra-h.schools.nsw.gov.au,NSW,jerra-h.school@det.nsw.edu.au,"131 450, 6217 4600 101",Gov
5921,Jerrabomberra Public School,Prim,https://jerra-p.schools.nsw.gov.au,NSW,jerra-p.school@det.nsw.edu.au,"131 450, 6299 8860",Gov
5922,Jesmond Public School,Prim,https://jesmond-p.schools.nsw.gov.au,NSW,jesmond-p.school@det.nsw.edu.au,"131 450, 4957 2605",Gov
5923,Jewells Primary School,Prim,https://jewells-p.schools.nsw.gov.au,NSW,jewells-p.school@det.nsw.edu.au,"131 450, 4948 7300",Gov
5924,Jiggi Public School,Prim,https://jiggi-p.schools.nsw.gov.au,NSW,jiggi-p.school@det.nsw.edu.au,"131 450, 66261499, 6688 8221, 6688 8221 1093",Gov
5925,Jilliby Public School,Prim,https://jilliby-p.schools.nsw.gov.au,NSW,jilliby-p.school@det.nsw.edu.au,"131 450, 4355 1240",Gov
5926,Jimboomba State School,Prim,https://jimboombass.eq.edu.au,QLD,admin@jimboombass.eq.edu.au,"(07) 5546 0550, (07) 5548 6425, (07) 5548 8300, (07) 5548 8333, (07) 5548 8366, 0419 255 475, 0488 793 799, 0755488315, 0755488368, 2024-2025, 2024-2027",Gov
5927,Jimbour State School,Prim,https://jimbourss.eq.edu.au,QLD,principal@jimbourss.eq.edu.au,(07) 4663 6120,Gov
5928,Jindabyne Public School,Prim,https://jindabyne-p.schools.nsw.gov.au,NSW,jindabyne-p.school@det.nsw.edu.au,"131 450, 6451 3500, 6451 3500 163",Gov
5929,Jindalee State School,Prim,https://jindaleess.eq.edu.au,QLD,info@jindaleess.eq.edu.au,"(07) 3725 5700, (07) 3725 5715, (07) 3725 5719, (07) 3725 5760, (07) 3725 5777, 0421 787 789, 3725 5777",Gov
5930,Jinibara State School,Prim,https://jinibarass.eq.edu.au,QLD,admin@jinibarass.eq.edu.au,"(07) 3491 1278, (07) 3491 1282, 0429 814 565, 07 3491 1222, 07 3491 1266",Gov
5931,John Calvin School,Pri/Sec,http://www.jcs.tas.edu.au,TAS,admin@jcs.tas.edu.au,03 6344 3794,NG
5932,John Hunter Hospital School,Special,https://johnhunter-s.schools.nsw.gov.au,NSW,johnhunter-s.school@det.nsw.edu.au,4985 5090,Gov
5933,John Paul College,Sec,http://www.jpc.vic.edu.au,VIC,johnpaul@jpc.vic.edu.au,"(03) 9784 0200, 03 9784 0237, 0499 377 423, 2022-2025, 82 787 261 668",NG
5934,John Pirie Secondary School,Sec,http://www.jpss.sa.edu.au,SA,dl.0792.info@schools.sa.edu.au,"08 8632 0400, 08 8632 3195",Gov
5935,John Pujajangka Piyirn School,Pri/Sec,http://www.jppmulan.wa.edu.au,WA,admin@jppmulan.wa.edu.au,"(08) 9168 8943, 100-200",NG
5936,John Purchase Public School,Prim,https://johnpurch-p.schools.nsw.gov.au,NSW,johnpurch-p.school@det.nsw.edu.au,"131 450, 6111186240001, 6379560061112, 9875 3100",Gov
5937,Jones Hill State School,Prim,https://jonehillss.eq.edu.au,QLD,admin@jonehillss.eq.edu.au,"(07) 5489 0534, (07) 5489 0555",Gov
5938,Jubilee Primary School,Prim,http://www.jubileeprimary.qld.edu.au,QLD,jubileepandf@gmail.com,"0409 670 007, 07 5502 8566",NG
5939,Julatten State School,Prim,https://julattenss.eq.edu.au,QLD,principal@julattenss.eq.edu.au,(07) 4094 1130,Gov
5940,Julia Creek State School,Prim,https://juliacreekss.eq.edu.au,QLD,admin@juliacreekss.eq.edu.au,"(07) 4746 4444, 0491 217 907",Gov
5941,Junction Park State School,Prim,https://junctionparkss.eq.edu.au,QLD,admin@junctionparkss.eq.edu.au,"0400 384 883, 07 3426 4333",Gov
5942,Jundah State School,Prim,https://jundahss.eq.edu.au,QLD,principal@jundahss.eq.edu.au,"(07) 4658 6121, (07) 4658 6163",Gov
5943,Junee High School,Sec,https://junee-h.schools.nsw.gov.au,NSW,junee-h.school@det.nsw.edu.au,"131 450, 6924 1666",Gov
5944,Kaimkillenbun State School,Prim,https://kaimkillenbunss.eq.edu.au,QLD,principal@kaimkillenbunss.eq.edu.au,(07) 4663 4155,Gov
5945,Kairi State School,Prim,https://kairiss.eq.edu.au,QLD,principal@kairiss.eq.edu.au,"(07) 4089 3700, (07) 4089 3777",Gov
5946,Kalamia State School,Prim,https://kalamiass.eq.edu.au,QLD,principal@kalamiass.eq.edu.au,"(07) 4783 1052, (07) 4783 2191",Gov
5947,Kalamunda Secondary Education Support Centre,Special,https://kses.wa.edu.au,WA,kalamunda.sesc@education.wa.edu.au,92936490,Gov
5948,Kalbar State School,Prim,https://kalbarss.eq.edu.au,QLD,principal@kalbarss.eq.edu.au,(07) 5469 9333,Gov
5949,Kalianna Special School,Special,http://www.kalianna.vic.edu.au,VIC,kalianna.ss@education.vic.gov.au,"03 5442 1311, 0354421311",Gov
5950,Kalkie State School,Prim,https://kalkiess.eq.edu.au,QLD,info@kalkiess.eq.edu.au,"(07) 4150 7400, (07) 4150 7444, (07) 4150 7460",Gov
5951,Kallangur State School,Prim,https://kallangurss.eq.edu.au,QLD,admin@kallangurss.eq.edu.au,"(07) 3491 5300, (07) 3491 5333, (07) 3491 5345, (07) 3491 5346, (07) 3491 5360, (07) 3886 2144, 1300 300 850",Gov
5952,Kambala,Pri/Sec,http://www.kambala.nsw.edu.au,NSW,reception@kambala.nsw.edu.au,"02 9388 6777, 2 9388 6777",NG
5953,Kambalda Primary School,Prim,http://www.Kambaldaps.wa.edu.au,WA,Kambalda.PS@education.wa.edu.au,(08) 9027 2900,Gov
5954,Kandanga State School,Prim,https://kandangass.eq.edu.au,QLD,admin@kandangass.eq.edu.au,"(07) 5484 3256, (07) 5484 3267",Gov
5955,Kangaloon Public School,Prim,https://kangaloon-p.schools.nsw.gov.au,NSW,kangaloon-p.school@det.nsw.edu.au,"131 450, 4888 2215, 4888 2215 1488",Gov
5956,Kangaroo Island Community Education,Pri/Sec,http://www.kice.sa.edu.au,SA,dl.1882.info@schools.sa.edu.au,"(08) 85531067, (08) 85532074, (08) 85596068, 2022-2024",Gov
5957,Kapooka Public School,Prim,https://kapooka-p.schools.nsw.gov.au,NSW,kapooka-p.school@det.nsw.edu.au,"02 6931 2703, 131 450, 6111150604001, 6353777365112",Gov
5958,Kapunda High School,Sec,http://www.kapundahs.sa.edu.au,SA,dl.0779.info@schools.sa.edu.au,"(08) 8566 2203, (08) 8566 2664, 118 (08) 8522 0900",Gov
5959,Karalee State School,Prim,https://karaleess.eq.edu.au,QLD,office@karaleess.eq.edu.au,"(07) 3294 5300, (07) 3294 5333, (07) 3294 5336, (07) 3294 5360, 0412 265 399",Gov
5960,Karalundi College,Sec,https://www.karalundi.wa.edu.au/,WA,school@karalundi.wa.edu.au,(08) 9981 2937,NG
5961,Karara State School,Prim,https://kararass.eq.edu.au,QLD,principal@kararass.eq.edu.au,"(07) 4667 4177, 0475 971 644",Gov
5962,Kareela Public School,Prim,https://kareela-p.schools.nsw.gov.au,NSW,kareela-p.school@det.nsw.edu.au,"131 450, 6111172994001, 6378855790112, 9528 5444",Gov
5963,Karonga School,Special,https://karonga-s.schools.nsw.gov.au,NSW,karonga-s.school@det.nsw.edu.au,"131 450, 9868 1922",Gov
5964,Karuah Public School,Prim,https://karuah-p.schools.nsw.gov.au,NSW,karuah-p.school@det.nsw.edu.au,"131 450, 4997 5341",Gov
5965,Karumba State School,Prim,https://karumbass.eq.edu.au,QLD,principal@karumbass.eq.edu.au,"(07) 4747 6222, 2025-2028",Gov
5966,Katamatite Primary School,Prim,http://www.katamatiteps.vic.edu.au,VIC,katamatite.ps@education.vic.gov.au,649 03 5865 1242,Gov
5967,Katoomba High School,Sec,https://katoomba-h.schools.nsw.gov.au,NSW,katoomba-h.school@det.nsw.edu.au,"131 450, 4782 2622",Gov
5968,Katoomba Public School,Prim,https://katoomba-p.schools.nsw.gov.au,NSW,katoomba-p.school@det.nsw.edu.au,"131 450, 4782 1226",Gov
5969,Kawana Waters State College,Pri/Sec,https://kawanawaterssc.eq.edu.au,QLD,info@kawanawaterssc.eq.edu.au,"(07) 5436 9333, (07) 5436 9366, (07) 5436 9388",Gov
5970,Kawungan State School,Prim,https://kawunganss.eq.edu.au,QLD,principal@kawunganss.eq.edu.au,"(07) 4197 9100, (07) 4197 9111",Gov
5971,Kearsley Public School,Prim,https://kearsley-p.schools.nsw.gov.au,NSW,kearsley-p.school@det.nsw.edu.au,"131 450, 4990 1705, 4990 1705 130",Gov
5972,Kedron State High School,Sec,https://kedronshs.eq.edu.au,QLD,info@kedronshs.eq.edu.au,"(07) 3630 3300, (07) 3630 3333, 2024-2027, 7 3630 3333",Gov
5973,Kedron State School,Prim,https://kedronss.eq.edu.au,QLD,admin@kedronss.eq.edu.au,"(07) 3621 3444, (07) 3621 3466, 0438 788 504",Gov
5974,Keebra Park State High School,Sec,https://keebraparkshs.eq.edu.au,QLD,info@keebraparkshs.eq.edu.au,"(07) 5509 2555, (07) 5509 2566, 2019-2022",Gov
5975,Keira High School,Sec,https://keira-h.schools.nsw.gov.au,NSW,keira-h.school@det.nsw.edu.au,"100126985132203, 131 450, 4229 4644",Gov
5976,Keiraville Public School,Prim,https://keiraville-p.schools.nsw.gov.au,NSW,keiraville-p.school@det.nsw.edu.au,"131 450, 4229 4117, 4229 4117 286",Gov
5977,Kellyville High School,Sec,https://kellyville-h.schools.nsw.gov.au,NSW,kellyville-h.school@det.nsw.edu.au,"131 450, 8824 5955",Gov
5978,Kelso Public School,Prim,https://kelso-p.schools.nsw.gov.au,NSW,kelso-p.school@det.nsw.edu.au,"131 450, 5446-4994, 6331 1577, 652177",Gov
5979,Kelso State School,Prim,https://kelsoss.eq.edu.au,QLD,admin@kelsoss.eq.edu.au,"(07) 4789 6222, (07) 4789 6226, 0428 269 492, 1300 072 410, 2021 2025",Gov
5980,Kelvin Grove State College,Pri/Sec,https://kelvingrovesc.eq.edu.au,QLD,info@kelvingrovesc.eq.edu.au,"(07) 3552 7333, (07) 3552 7420",Gov
5981,Kemps Creek Public School,Prim,https://kempscreek-p.schools.nsw.gov.au,NSW,kempscreek-p.school@det.nsw.edu.au,"131 450, 9826 1143, 9826 1143 100",Gov
5982,Kempsey East Public School,Prim,https://kempseyest-p.schools.nsw.gov.au,NSW,kempseyest-p.school@det.nsw.edu.au,"131 450, 6562 4927",Gov
5983,Kempsey South Public School,Prim,https://kempseysth-p.schools.nsw.gov.au,NSW,kempseysth-p.school@det.nsw.edu.au,"131 450, 6562 7033",Gov
5984,Kempsey West Public School,Prim,https://kempseywst-p.schools.nsw.gov.au,NSW,kempseywst-p.school@det.nsw.edu.au,"131 450, 6562 7044",Gov
5985,Kenilworth State Community College,Prim,https://kenilworthscc.eq.edu.au,QLD,admin@kenilworthscc.eq.edu.au,"(07) 5440 0555, 0410 149 621",Gov
